name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,brand,car_age,km_per_year
Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,1,Maruti,13,5000
Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,1,Maruti,13,3571
Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,1,Hyundai,8,11111
Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,1,Datsun,3,11500
Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,2,Honda,6,20142
Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,1,Maruti,13,8928
Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,1,Hyundai,4,5000
Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,2,Tata,6,8571
Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,1,Hyundai,5,4166
Maruti Celerio Green VXI,2017,365000,78000,Other,Individual,Manual,1,Maruti,3,19500
Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,1,Chevrolet,5,5833
Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,1,Tata,6,14285
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,1,Toyota,2,8333
Maruti 800 AC,2007,60000,70000,Petrol,Individual,Manual,1,Maruti,13,5000
Maruti Wagon R LXI Minor,2007,135000,50000,Petrol,Individual,Manual,1,Maruti,13,3571
Hyundai Verna 1.6 SX,2012,600000,100000,Diesel,Individual,Manual,1,Hyundai,8,11111
Datsun RediGO T Option,2017,250000,46000,Petrol,Individual,Manual,1,Datsun,3,11500
Honda Amaze VX i-DTEC,2014,450000,141000,Diesel,Individual,Manual,2,Honda,6,20142
Maruti Alto LX BSIII,2007,140000,125000,Petrol,Individual,Manual,1,Maruti,13,8928
Hyundai Xcent 1.2 Kappa S,2016,550000,25000,Petrol,Individual,Manual,1,Hyundai,4,5000
Tata Indigo Grand Petrol,2014,240000,60000,Petrol,Individual,Manual,2,Tata,6,8571
Hyundai Creta 1.6 VTVT S,2015,850000,25000,Petrol,Individual,Manual,1,Hyundai,5,4166
Maruti Celerio Green VXI,2017,365000,78000,Other,Individual,Manual,1,Maruti,3,19500
Chevrolet Sail 1.2 Base,2015,260000,35000,Petrol,Individual,Manual,1,Chevrolet,5,5833
Tata Indigo Grand Petrol,2014,250000,100000,Petrol,Individual,Manual,1,Tata,6,14285
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,Petrol,Dealer,Automatic,1,Toyota,2,8333
Maruti Ciaz VXi Plus,2015,585000,24000,Petrol,Dealer,Manual,1,Maruti,5,4000
Hyundai Venue SX Opt Diesel,2019,1195000,5000,Diesel,Dealer,Manual,1,Hyundai,1,2500
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000,33000,Diesel,Individual,Manual,2,Chevrolet,7,4125
Jaguar XF 2.2 Litre Luxury,2014,1964999,28000,Diesel,Dealer,Automatic,1,Other,6,4000
Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,Automatic,1,Mercedes-Benz,7,7375
Maruti Vitara Brezza ZDi Plus AMT,2018,975000,4500,Diesel,Dealer,Automatic,1,Maruti,2,1500
Audi Q5 2.0 TDI,2011,1190000,175900,Diesel,Dealer,Automatic,1,Audi,9,17590
Honda City V MT,2018,930000,14500,Petrol,Dealer,Manual,1,Honda,2,4833
Tata Tigor 1.2 Revotron XT,2018,525000,15000,Petrol,Individual,Manual,1,Tata,2,5000
Audi A6 2.0 TDI  Design Edition,2013,1735000,50000,Diesel,Dealer,Automatic,1,Audi,7,6250
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,1375000,33800,Diesel,Dealer,Automatic,2,Mercedes-Benz,8,3755
Skoda Superb Ambition 2.0 TDI CR AT,2011,450000,130400,Diesel,Dealer,Automatic,2,Skoda,9,13040
Toyota Corolla Altis G AT,2016,900000,50000,Petrol,Individual,Automatic,1,Toyota,4,10000
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1300000,80000,Diesel,Individual,Manual,1,Toyota,5,13333
Jeep Compass 1.4 Sport Plus BSIV,2019,1400000,10000,Petrol,Individual,Manual,1,Other,1,5000
Mercedes-Benz E-Class E 200 CGI Elegance,2010,850000,119000,Petrol,Dealer,Automatic,1,Mercedes-Benz,10,10818
Hyundai i10 Magna 1.1L,2014,229999,60000,Petrol,Individual,Manual,4,Hyundai,6,8571
BMW 3 Series 320d Sport Line,2013,1550000,75800,Diesel,Dealer,Automatic,2,BMW,7,9475
Audi Q7 35 TDI Quattro Premium,2009,1250000,78000,Diesel,Dealer,Automatic,3,Audi,11,6500
Hyundai Elantra CRDi S,2012,625000,40000,Diesel,Individual,Manual,1,Hyundai,8,4444
Mahindra Scorpio 1.99 S10,2014,1050000,50000,Diesel,Individual,Manual,1,Mahindra,6,7142
Honda City i DTEC V,2014,560000,74000,Diesel,Individual,Manual,2,Honda,6,10571
Maruti Wagon R VXI BS IV with ABS,2014,290000,64000,Petrol,Individual,Manual,2,Maruti,6,9142
Maruti Wagon R VXI BS IV,2012,275000,60000,Petrol,Individual,Manual,2,Maruti,8,6666
Mahindra Scorpio LX,2009,411000,120000,Diesel,Individual,Manual,2,Mahindra,11,10000
Hyundai Santro Xing GLS,2009,150000,79000,Petrol,Individual,Manual,3,Hyundai,11,6583
