iter	RMSE
0	554266.5207
1	539576.6474
2	525876.6203
3	512631.2234
4	500170.8525
5	487521.7402
6	475009.0582
7	463431.6609
8	451578.0676
9	440774.8589
10	431175.2294
11	421215.0437
12	412033.0231
13	402824.8581
14	395223.5897
15	387601.3518
16	381188.6366
17	375794.5896
18	369817.2619
19	363754.2606
20	359454.9774
21	353996.8896
22	348646.9078
23	343777.3979
24	340386.0225
25	336744.6868
26	332428.8379
27	328912.6467
28	324972.674
29	322458.8979
30	319569.6463
31	316705.5438
32	313177.3592
33	310336.5497
34	307424.8758
35	304806.7069
36	302112.5873
37	299290.8085
38	296630.3884
39	294380.978
40	292269.1064
41	290136.5588
42	287756.7169
43	286059.7663
44	284844.0375
45	283553.0576
46	282074.4632
47	280686.6527
48	279495.5294
49	277932.2048
50	276720.0639
51	275664.9305
52	274157.8343
53	272699.3366
54	271659.4643
55	270623.3632
56	269390.1423
57	268575.6426
58	267741.5261
59	266964.5976
60	265610.9755
61	264507.9972
62	263380.3816
63	262418.8199
64	261298.9864
65	260454.563
66	259876.3851
67	258678.511
68	258081.667
69	257553.145
70	256847.8857
71	255956.6888
72	255333.864
73	254974.0833
74	254198.3293
75	253527.2305
76	252771.2007
77	252186.6332
78	251610.8908
79	250921.9032
80	250330.0542
81	250073.4191
82	249426.321
83	248712.0472
84	248513.9359
85	247881.085
86	247614.8709
87	247350.6804
88	247112.0821
89	246891.8837
90	246618.2104
91	245860.7953
92	245564.2409
93	245253.9858
94	244520.4327
95	244210.0635
96	243740.5764
97	243015.5509
98	242288.7037
99	241921.6086
100	241785.6023
101	241785.3987
102	241453.4025
103	241120.1209
104	240926.7771
105	240590.795
106	239949.2734
107	239733.2905
108	239257.4893
109	238818.3813
110	238809.5347
111	238269.5413
112	238171.3734
113	237808.3384
114	237337.2521
115	236944.2508
116	236755.1526
117	236316.973
118	236215.2171
119	236090.7569
120	235946.6112
121	235728.9443
122	235485.1873
123	234997.6135
124	234695.8449
125	234411.3245
126	234083.3808
127	233578.9408
128	233266.3755
129	233145.0317
130	232972.6165
131	232579.0114
132	232251.2055
133	232132.705
134	231822.4412
135	231227.3857
136	230954.6712
137	230923.9583
138	230798.5179
139	230662.2453
140	230423.9211
141	230072.6563
142	229959.0401
143	229685.9168
144	229128.5032
145	228936.8226
146	228681.4047
147	228397.3945
148	227985.7281
149	227868.7971
150	226956.5373
151	226507.2395
152	226384.2732
153	225956.229
154	225866.3379
155	225667.6176
156	225612.0236
157	225445.8209
158	225283.0257
159	225195.2303
160	225042.0923
161	224970.6927
162	224815.3218
163	224261.6706
164	224233.7897
165	224103.2625
166	223927.6595
167	223795.7643
168	223607.5229
169	223534.8613
170	223282.7804
171	223149.3496
172	223085.8735
173	222904.7095
174	222369.6441
175	222201.3358
176	222053.9716
177	221679.9605
178	221404.1635
179	221336.3948
180	221206.029
181	221111.8606
182	220842.0362
183	220651.0619
184	220259.3086
185	220205.769
186	219967.8476
187	219892.7219
188	219678.8208
189	219379.857
190	219310.4408
191	219097.8408
192	219081.7665
193	218981.4719
194	218508.7211
195	218303.6258
196	218051.1677
197	217763.4043
198	217358.4358
199	217264.4897
200	217086.9616
201	216996.6773
202	216526.9213
203	216359.0592
204	216243.0462
205	216079.14
206	215958.6809
207	215745.2741
208	215472.9655
209	215301.3212
210	215192.5084
211	214967.3095
212	214825.1995
213	214702.2811
214	214634.7919
215	214325.4559
216	214274.6011
217	213937.4884
218	213860.3568
219	213787.2813
220	213748.4194
221	213645.8636
222	213403.2164
223	213307.2815
224	213018.7928
225	212877.5864
226	212537.9549
227	212044.0196
228	211752.9507
229	210959.234
230	210621.395
231	210441.3058
232	210277.6812
233	210203.4343
234	209974.1359
235	209942.1533
236	209835.634
237	209691.5344
238	209104.4751
239	208887.0752
240	208675.6133
241	208542.2503
242	208409.8917
243	208313.0412
244	208159.7254
245	208066.8418
246	207545.2714
247	207399.6854
248	207164.2524
249	207114.5004
250	207071.5798
251	206909.4741
252	206795.3636
253	206708.2243
254	206638.9164
255	206452.2347
256	206439.9068
257	206255.6229
258	206195.7493
259	205679.0659
260	205601.5464
261	205004.3306
262	204862.1066
263	204531.2612
264	204487.8381
265	204412.6571
266	204135.6225
267	203782.8252
268	203730.2432
269	203409.447
270	203380.5556
271	203358.1922
272	202945.0685
273	202729.1087
274	202669.4552
275	202562.1007
276	202274.0064
277	202078.7393
278	201881.5244
279	201838.7672
280	201801.7127
281	201779.9353
282	201453.8013
283	201274.1318
284	201166.4876
285	201093.6331
286	200868.69
287	200813.5278
288	200680.923
289	200373.7597
290	200349.4085
291	200186.1745
292	200014.8969
293	199834.268
294	199676.9848
295	199655.848
296	199615.7812
297	199423.6534
298	199142.5108
299	199048.1529
300	199016.8941
301	198940.9184
302	198659.0734
303	198433.6449
304	198412.4919
305	198064.1046
306	197979.7999
307	197969.2581
308	197754.5694
309	197697.9518
310	197693.5361
311	197674.024
312	197531.2366
313	197471.6804
314	197141.2698
315	197123.4083
316	196987.7075
317	196844.09
318	196492.9445
319	196183.8531
320	195898.9936
321	195876.9168
322	195722.7808
323	195664.7567
324	195603.6572
325	195249.1627
326	194972.027
327	194872.7371
328	194645.7509
329	194219.2773
330	194008.1826
331	193951.7821
