iter	Passed	Remaining
0	206	412288
1	225	225246
2	246	163944
3	266	133083
4	286	114508
5	303	101006
6	322	91892
7	342	85232
8	364	80664
9	385	76806
10	407	73596
11	428	70951
12	448	68500
13	467	66365
14	487	64503
15	511	63384
16	544	63559
17	568	62548
18	589	61429
19	609	60379
20	627	59093
21	648	58288
22	668	57504
23	690	56815
24	709	56023
25	728	55298
26	747	54650
27	767	54046
28	787	53526
29	800	52551
30	816	51863
31	830	51084
32	850	50671
33	870	50311
34	890	49968
35	909	49645
36	929	49320
37	949	49038
38	971	48832
39	992	48611
40	1013	48443
41	1034	48233
42	1060	48284
43	1094	48645
44	1126	48958
45	1157	49164
46	1180	49063
47	1202	48914
48	1226	48818
49	1248	48687
50	1270	48534
51	1295	48531
52	1323	48628
53	1347	48574
54	1371	48511
55	1394	48396
56	1414	48224
57	1435	48057
58	1455	47895
59	1475	47716
60	1495	47526
61	1514	47339
62	1533	47161
63	1553	46991
64	1572	46800
65	1590	46612
66	1610	46458
67	1634	46448
68	1654	46289
69	1673	46153
70	1693	46010
71	1713	45888
72	1733	45769
73	1753	45625
74	1772	45487
75	1791	45345
76	1810	45209
77	1830	45104
78	1849	44973
79	1869	44856
80	1888	44749
81	1908	44639
82	1929	44563
83	1949	44462
84	1969	44366
85	1988	44247
86	2007	44140
87	2027	44055
88	2046	43939
89	2065	43834
90	2084	43719
91	2102	43610
92	2122	43524
93	2143	43468
94	2163	43387
95	2183	43303
96	2203	43225
97	2222	43130
98	2241	43048
99	2260	42957
100	2280	42876
101	2287	42556
102	2305	42452
103	2323	42366
104	2345	42334
105	2366	42289
106	2385	42206
107	2405	42141
108	2426	42097
109	2447	42047
110	2458	41832
111	2478	41775
112	2497	41707
113	2516	41633
114	2535	41567
115	2556	41521
116	2569	41348
117	2588	41278
118	2609	41240
119	2628	41178
120	2648	41123
121	2667	41060
122	2686	40992
123	2705	40926
124	2724	40862
125	2743	40805
126	2763	40754
127	2782	40690
128	2801	40629
129	2823	40616
130	2843	40567
131	2863	40520
132	2883	40471
133	2901	40402
134	2919	40337
135	2939	40282
136	2959	40239
137	2977	40179
138	2996	40123
139	3016	40070
140	3035	40016
141	3057	40008
142	3077	39970
143	3097	39926
144	3116	39872
145	3135	39816
146	3154	39762
147	3173	39710
148	3192	39661
149	3212	39621
150	3231	39567
151	3250	39516
152	3268	39462
153	3292	39468
154	3305	39347
155	3324	39302
156	3346	39278
157	3365	39236
158	3384	39189
159	3400	39108
160	3419	39060
161	3429	38906
162	3448	38862
163	3467	38819
164	3486	38769
165	3505	38733
166	3525	38690
167	3543	38643
168	3563	38602
169	3582	38564
170	3603	38543
171	3622	38502
172	3641	38455
173	3660	38412
174	3679	38370
175	3698	38334
176	3724	38363
177	3743	38318
178	3761	38269
179	3780	38226
180	3799	38186
181	3819	38149
182	3838	38110
183	3857	38069
184	3877	38039
185	3896	38002
186	3915	37965
187	3934	37922
188	3953	37885
189	3973	37855
190	3998	37873
191	4029	37943
192	4054	37961
193	4075	37940
194	4097	37925
195	4119	37913
196	4140	37896
197	4160	37863
198	4179	37823
199	4199	37791
200	4218	37758
201	4237	37716
202	4256	37681
203	4275	37641
204	4294	37601
205	4314	37570
206	4333	37537
207	4352	37500
208	4375	37496
209	4397	37484
210	4417	37455
211	4437	37423
212	4457	37394
213	4478	37376
214	4497	37340
215	4516	37305
216	4537	37282
217	4559	37270
218	4578	37238
219	4597	37199
220	4616	37161
221	4636	37132
222	4655	37101
223	4675	37066
224	4694	37032
225	4713	36998
226	4735	36987
227	4761	37005
228	4787	37021
229	4811	37024
230	4832	37008
231	4852	36979
232	4871	36946
233	4891	36919
234	4911	36886
235	4931	36858
236	4950	36828
237	4969	36792
238	4989	36762
239	5008	36730
240	5028	36698
